Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_8,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 8)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.2583,-0.18651,-0.16681,-0.19359,-0.27557,-0.21008,-0.75313,-0.50122,0.20466,1.05224,0.51698,0.87208,-0.72179,-1.24583,-0.37147,1.55346,1.80537,-1.23877,2.1214,-1.8979,-2.5505,3.822,1.922075782,1.451417561,1.984437827,1.907871591,1.864921495,295.923,113.567,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.27371,-0.19491,-0.16167,-0.18879,-0.28344,-0.02907,-0.75198,-0.49243,0.20067,1.05171,0.5164,0.87077,-0.72138,-1.2405,-0.36234,1.54414,1.80369,-1.23778,2.5241,-2.2874,-3.458,4.854,1.925427676,1.453438784,1.988413511,1.906360925,1.860187749,310.335,144.725,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.2699,-0.17344,-0.16607,-0.18343,-0.28674,-0.09455,-0.75401,-0.49944,0.20454,1.05038,0.51801,0.87301,-0.72034,-1.23381,-0.37061,1.54982,1.80439,-1.23835,2.4755,-4.2305,-2.3238,5.4245,1.922196304,1.451490344,1.984262816,1.906138842,1.856254259,319.568,156.377,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.24226,-0.1982,-0.1748,-0.188,-0.24403,-0.02263,-0.75176,-0.48986,0.18412,1.05475,0.52004,0.8736,-0.7202,-1.24275,-0.35892,1.54461,1.80651,-1.24024,-2.7038,-4.5705,-1.3208,5.4722,1.936715937,1.445250416,2.001926117,1.912466387,1.824492157,376.973,256.594,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.33542,-0.17152,-0.19199,-0.17701,-0.31874,0.38516,-0.75031,-0.51022,0.20305,1.04996,0.50826,0.86607,-0.71748,-1.22697,-0.39504,1.56018,1.80027,-1.22574,-0.1432,-2.8344,-1.6658,3.2908,1.919687512,1.43765643,1.981270505,1.909938063,1.948464994,320.918,160.437,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.29168,-0.18403,-0.19451,-0.185,-0.28714,0.20045,-0.73459,-0.50018,0.18393,1.04792,0.52388,0.87659,-0.7373,-1.23292,-0.37844,1.5481,1.78251,-1.26118,-0.0035,-7.6322,-0.818,7.6759,1.933672932,1.440609913,1.999897663,1.915865307,1.805135495,346.936,218.84,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.23135,-0.21519,-0.09803,-0.18922,-0.22601,-0.10457,-0.74599,-0.47109,0.26279,1.03521,0.51229,0.8745,-0.72349,-1.22443,-0.36082,1.5063,1.7812,-1.23578,1.2247,-2.318,-3.5685,4.428,1.909860816,1.468821051,1.976664782,1.902174921,1.892089061,377.898,248.406,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.24725,-0.20516,-0.17793,-0.20066,-0.2359,-0.0379,-0.73949,-0.48328,0.18729,1.04634,0.50079,0.8602,-0.72235,-1.247,-0.36522,1.52962,1.78583,-1.22314,-1.214,-3.8574,-3.6222,5.429,1.929454401,1.449513082,2.001697659,1.909211321,2.031497519,365.997,228.321,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.02463,-0.01815,-0.13455,-0.18956,-0.24492,-0.03119,-0.75221,-0.49464,0.19491,1.05509,0.51819,0.87216,-0.72117,-1.24465,-0.32946,1.54973,1.8073,-1.23936,1.5659,0.2952,-3.3168,3.6797,1.922383213,1.451726943,1.977693221,1.906860873,1.848449549,440.469,345.204,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02106,-0.01677,-0.0206,-0.22544,-0.23803,-0.04795,-0.77766,-0.49471,-0.11616,1.0943,0.51792,0.87084,-0.70406,-1.31974,0.09556,1.58901,1.87196,-1.22198,0.1025,-0.3036,-3.9091,3.9222,1.91898262,1.413828425,1.974973034,1.915968144,1.857655898,424.47,292.204,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
28,-0.26413,-0.21334,-0.12532,-0.1864,-0.2701,-0.21971,-0.76193,-0.47522,0.29534,1.06157,0.5114,0.87153,-0.70807,-1.24797,-0.42066,1.53679,1.8235,-1.21947,1.7431,-2.2366,-3.655,4.626,1.910176647,1.469116342,1.976612427,1.901907161,1.902018094,316.635,147.841,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
29,-0.24931,-0.27995,0.26222,-0.28625,-0.248,-0.25136,-0.76692,-0.53101,-0.52386,1.0477,0.5155,0.86925,-0.70648,-1.33395,0.78608,1.57871,1.81462,-1.22198,1.7678,-2.5557,-2.8177,4.1948,1.901642842,1.401534089,1.953198792,1.908176428,1.829427468,269.169,70.717,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,73,0.73709082
31,-0.25837,-0.2019,-0.1877,-0.19685,-0.26519,-0.20113,-0.73029,-0.57581,0.6784,1.04135,0.51146,0.87032,-0.73253,-1.2382,-0.8661,1.61716,1.77164,-1.24399,0.0018,-6.0673,-1.4146,6.23,1.952330826,1.44953148,1.97320443,1.913509876,1.847266322,253.951,78.5538,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,88,1.476541977
30,-0.25088,-0.18936,-0.1492,-0.19002,-0.2737,-0.21717,-0.74309,-0.51148,0.10334,1.03701,0.51132,0.87542,-0.72562,-1.22703,-0.25254,1.54849,1.7801,-1.23694,2.7059,-2.6167,-2.6804,4.6209,1.927351724,1.454819771,1.979848771,1.902727803,1.897151426,267.676,93.4852,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.24971,-0.26028,0.12292,-0.2403,-0.25647,-0.24331,-0.74274,-0.31338,-0.13586,1.01834,0.51429,0.87553,-0.72479,-1.25864,0.25878,1.33172,1.76108,-1.23908,2.7213,-0.4828,-3.5983,4.5372,1.926942971,1.419356377,1.963433759,1.905172977,1.879907436,255.663,83.839,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.2007,-0.2463,0.14582,-0.24379,-0.20886,-0.18296,-0.73884,-0.30678,-0.13847,1.01106,0.51573,0.87781,-0.73171,-1.25485,0.28429,1.31784,1.7499,-1.24744,1.1496,-5.3023,-2.3523,5.9135,1.924333504,1.417162455,1.96502003,1.906228672,1.869711401,274.302,105.26,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.25804,-0.17956,-0.16139,-0.17796,-0.28425,0.18534,-0.74968,-0.494,0.20697,1.04291,0.50634,0.859,-0.71468,-1.22087,-0.36836,1.53691,1.79259,-1.22102,1.3543,-4.7751,-3.1245,5.865,1.919063827,1.446378391,1.984019624,1.911036271,1.948214878,350.712,204.883,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.20303,-0.25029,0.14395,-0.23403,-0.23352,-0.11558,-0.73741,-0.30089,-0.13502,1.00929,0.50196,0.85944,-0.71794,-1.24332,0.27897,1.31018,1.7467,-1.2199,0.3832,-5.0909,-4.7009,6.9399,1.922627809,1.419058145,1.967777102,1.901003021,2.061987396,355.227,205.936,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.25162,-0.25562,0.11909,-0.2454,-0.25852,-0.24109,-0.76063,-0.31091,-0.13014,1.05204,0.51205,0.8681,-0.71394,-1.29744,0.24923,1.36295,1.81267,-1.22599,4.4641,-0.5849,-3.24,5.5469,1.924419683,1.419543095,1.981755253,1.913319174,1.894910485,416.817,207.929,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
46,-0.24923,-0.22141,-0.12642,-0.20768,-0.25966,-0.23253,-0.73018,-0.5301,0.11637,1.04387,0.50676,0.87001,-0.75133,-1.25155,-0.24279,1.57397,1.77405,-1.25809,-0.8003,0.6151,-2.8772,3.0491,1.925980057,1.463741575,1.985436219,1.918528087,1.856081324,358.12,146.032,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
41,-0.27056,-0.20699,-0.14721,-0.17476,-0.27828,-0.1033,-0.7487,-0.52465,0.50916,1.04476,0.52341,0.87842,-0.71809,-1.21952,-0.65637,1.56941,1.79346,-1.2415,-0.5779,-3.4534,-3.9204,5.2563,1.930161568,1.460472885,1.96797137,1.899813804,1.813815629,386.2,155.103,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
67,-0.34545,-0.17538,-0.21278,-0.1931,-0.30954,0.36634,-0.74003,-0.59668,0.67018,1.08209,0.50934,0.87139,-0.72917,-1.27519,-0.88296,1.67877,1.82212,-1.23851,-1.3759,-5.2299,-1.531,5.6204,1.954437041,1.441430448,2.027379763,1.908492139,1.846734913,296.317,109.042,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
35,-0.24608,-0.25375,0.11696,-0.23214,-0.25204,-0.03932,-0.74307,-0.31461,-0.13442,1.01961,0.51428,0.87551,-0.72441,-1.25175,0.25138,1.33422,1.76268,-1.23869,2.7074,-0.1461,-3.619,4.5219,1.926605833,1.418987872,1.963945289,1.90500177,1.879332663,269.144,90.8698,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,87,1.408754725
21,-0.25525,0.0191,-0.16471,-0.18383,-0.28342,-0.2013,-0.75159,-0.50174,0.19869,1.05391,0.5217,0.87457,-0.72628,-1.23774,-0.3634,1.55565,1.8055,-1.24798,1.9247,-1.8214,-2.8364,3.8816,1.921362845,1.450774212,1.982452411,1.908668913,1.834046059,308.289,115.937,1.68,2.76,5.1,2.16,1.75,4.35,6.34,2.25,88,1.476541977
22,-0.34319,0.04379,-0.18992,-0.17102,-0.3257,0.37007,-0.75276,-0.51252,0.19597,1.05609,0.52223,0.87462,-0.72421,-1.22711,-0.38589,1.56861,1.80885,-1.24644,0.5487,-0.9296,-2.8367,3.0351,1.922111109,1.443035029,1.980761283,1.907359797,1.834033155,331.135,152.659,1.68,2.76,5.09,2.16,1.77,4.34,8.42,2.26,90,1.628310181
23,0.3313,-0.31099,-0.13626,-0.25476,0.30279,-0.33704,-0.75923,-0.50234,0.2066,1.05989,0.51841,0.87347,-0.71707,-1.31465,-0.34286,1.56223,1.81912,-1.23548,1.1924,-1.8258,-1.9327,2.9138,1.926846249,1.452295945,1.981712939,1.908921906,1.883129641,331.058,131.926,1.68,2.76,5.1,2.16,1.89,4.62,7.11,5.75,73.5,0.756001668
24a,0.27279,-0.27794,-0.15984,-0.20473,-0.29424,0.3066,-0.7556,-0.50201,0.1984,1.05347,0.51573,0.87321,-0.721,-1.2582,-0.35824,1.55548,1.80907,-1.23673,1.0021,-1.4967,-4.5168,4.8627,1.923186744,1.447589965,1.979704973,1.90786131,1.866677165,334.356,153.404,1.68,2.76,5.1,2.16,1.76,5.42,8.27,4.3,86,1.345267646
24b,-0.33215,-0.1885,-0.17117,-0.23172,0.2459,0.3052,-0.75987,-0.51193,0.20143,1.06706,0.51552,0.87221,-0.71461,-1.29878,-0.3726,1.57899,1.82693,-1.23013,0.8846,0.4512,-3.564,3.6999,1.937912931,1.443672875,1.977625321,1.908823326,1.862425946,333.696,157.879,1.68,2.76,5.1,2.16,1.89,5.31,8.39,4.46,62,0.362792392
42,-0.35559,-0.17798,-0.17272,-0.17814,-0.31762,0.35522,-0.75324,-0.51117,0.14079,1.05624,0.50946,0.87414,-0.71899,-1.23438,-0.31351,1.56741,1.80948,-1.22845,1.7686,-0.5708,-3.9239,4.3417,1.937496479,1.447252382,1.969849337,1.903355764,1.901890796,335.587,171.236,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
43,-0.2572,-0.22382,-0.11473,-0.21394,-0.26964,-0.23596,-0.75374,-0.33455,0.22081,1.0465,0.50456,0.86736,-0.7227,-1.26044,-0.33554,1.38105,1.80024,-1.22726,2.4309,-3.7248,-3.79,5.8436,1.934890648,1.463530405,1.957265862,1.912769795,1.942640009,274.903,88.987,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,73,0.73709082
27,-0.25339,-0.20377,-0.14511,-0.19865,-0.27303,-0.22032,-0.71884,-0.50386,0.28584,1.03347,0.49937,0.86172,-0.73511,-1.23212,-0.43095,1.53733,1.75231,-1.23448,-1.5729,-4.4781,-4.9582,6.8638,1.937959627,1.461797414,1.98217334,1.902891905,1.928691055,268.215,97.8754,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,85,1.285471038
34,-0.33899,-0.24005,0.09836,-0.22617,-0.29721,0.32674,-0.74231,-0.31502,-0.13146,1.01941,0.51447,0.87566,-0.72488,-1.24558,0.22982,1.33443,1.76172,-1.23935,1.5605,0.0671,-3.6168,3.9396,1.927478527,1.419313406,1.964508381,1.90457663,1.882367369,275.09,100.605,1.69,3.08,5.44,1.86,1.78,3.16,8.34,4.01,86,1.345267646
40,-0.24826,-0.05085,0.12515,-0.23077,-0.26619,-0.23594,-0.74247,-0.31636,-0.13821,1.02011,0.51708,0.87577,-0.7258,-1.25088,0.26336,1.33647,1.76258,-1.24288,2.2076,-0.6963,-3.7703,4.4242,1.922786054,1.428081458,1.953353237,1.905714566,1.85514812,267.18,87.6244,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,90,1.628310181
36,-0.22612,-0.24769,0.14051,-0.23661,-0.23028,-0.18193,-0.74082,-0.31133,-0.13951,1.01338,0.5159,0.87685,-0.72767,-1.24999,0.28002,1.32471,1.7542,-1.24357,2.8511,-3.4417,-3.3477,5.5841,1.925278612,1.41675191,1.965317454,1.904451019,1.866975268,267.943,89.3393,1.69,3.08,5.44,1.88,1.87,3.16,7.56,4.01,86,1.345267646
32,-0.2348,-0.19741,-0.16986,-0.19553,-0.23506,-0.1562,-0.73338,-0.56446,0.6751,1.03819,0.50784,0.86612,-0.72308,-1.23372,-0.84496,1.60265,1.77157,-1.23092,-2.0574,-9.3208,-1.8106,9.7153,1.958413207,1.454433343,1.973686255,1.911173723,1.862078968,265.371,85.3251,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,78,0.937954847
66,0.27643,-0.28878,-0.18464,-0.21211,-0.29019,0.3106,-0.74025,-0.59292,0.67007,1.08336,0.51002,0.8708,-0.72859,-1.29547,-0.85471,1.67628,1.82361,-1.23861,-1.5548,-7.0269,-2.5086,7.6215,1.954427671,1.44552097,2.024862552,1.907929855,1.854434069,311.349,109.536,2.52,3.54,6.48,4.09,1.78,3.19,8.38,4.05,22,-0.937954847
