Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_29,NPA_30,NPA_31,NPA_35,NPA_40,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_40,diff_NBO_10_35,diff_NBO_29_31,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 40)","Dist(10, 35)","Dist(29, 31)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.25223,-0.21306,-0.19962,-0.20035,-0.26605,-0.19178,0.73762,1.0528,-0.74503,0.8667,0.5069,-0.70814,-0.64671,-1.25315,-0.93724,1.69951,1.76094,-1.25193,-2.7058,-4.9015,-2.8846,6.2981,1.932515907,1.471816707,1.960113985,1.90908862,1.829666114,258.197,80.5716,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.25773,-0.22171,-0.20012,-0.19228,-0.26046,-0.19186,0.7487,1.0539,-0.73598,0.86714,0.51116,-0.71981,-0.65628,-1.24618,-0.94882,1.71018,1.77371,-1.24714,-2.873,-5.317,-2.278,6.4586,1.922147725,1.478931227,1.952579747,1.908279613,1.863718632,270.832,81.2427,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.24153,-0.27128,0.10172,-0.26371,-0.24907,-0.22642,-0.4387,1.05889,-0.7531,0.87111,0.50726,-0.7062,-0.61304,-1.3226,0.54042,1.67193,1.76509,-1.26036,-3.2969,-6.9896,-2.5878,8.1498,1.93091752,1.432989706,1.948428704,1.90744878,1.797035445,275.436,89.2023,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.25763,-0.20073,-0.18805,-0.19808,-0.26126,-0.19468,0.67774,1.04187,-0.73173,0.86916,0.51065,-0.72616,-0.57629,-1.23995,-0.86579,1.61816,1.76803,-1.24238,0.1594,-6.7479,-2.5664,7.2212,1.951969889,1.449407561,1.972863162,1.912116988,1.864740971,264.555,82.8119,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.21024,-0.25835,0.11343,-0.27228,-0.21917,-0.15552,-0.59833,1.05639,-0.74278,0.87049,0.50929,-0.71473,-0.63016,-1.32867,0.71176,1.68655,1.77112,-1.25207,-1.023,-7.7518,-2.5784,8.2331,1.940834178,1.425737357,1.944769124,1.9083467,1.852342804,270.129,87.9489,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.24092,-0.26652,0.10127,-0.27364,-0.24875,-0.22982,-0.60766,1.06461,-0.75117,0.87218,0.50638,-0.70933,-0.61999,-1.33825,0.70893,1.6846,1.77394,-1.25755,-2.6649,-6.8972,-2.4625,7.7933,1.930003974,1.429732447,1.949377855,1.908809941,1.806995079,289.201,84.0276,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.25621,-0.22844,-0.19128,-0.19428,-0.25996,-0.19352,0.7544,1.05985,-0.73226,0.86696,0.51084,-0.72451,-0.6676,-1.25413,-0.94568,1.72745,1.78436,-1.2431,-2.9247,-5.4283,-2.3506,6.5989,1.919485914,1.491744463,1.94546911,1.909492665,1.867177856,313.864,88.2138,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.25466,-0.21906,-0.19769,-0.20024,-0.26677,-0.19104,0.74931,1.05475,-0.74766,0.86821,0.50785,-0.70518,-0.64915,-1.25499,-0.947,1.7039,1.75993,-1.25551,-3.1354,-5.8374,-3.1355,7.3306,1.927492618,1.480931923,1.953927504,1.908891307,1.812461284,302.268,100.669,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.2575,-0.20842,-0.20931,-0.19565,-0.27182,-0.1851,0.72038,1.05302,-0.74659,0.86827,0.5073,-0.70659,-0.64895,-1.24867,-0.92969,1.70197,1.75961,-1.25389,-2.0489,-5.4603,-4.4334,7.3258,1.926012283,1.476684811,1.948831901,1.908528724,1.818626044,274.814,88.8645,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.25364,-0.21668,-0.20266,-0.19799,-0.25617,-0.1929,0.74547,1.05129,-0.73817,0.86866,0.51129,-0.71686,-0.63564,-1.24928,-0.94813,1.68693,1.76815,-1.24946,-2.3072,-5.1292,-3.1081,6.4259,1.928470737,1.471639462,1.960529703,1.904626366,1.85931485,314.364,153.142,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.24185,-0.26464,0.09885,-0.27118,-0.24851,-0.2269,-0.59508,1.05974,-0.75179,0.87183,0.50672,-0.70791,-0.62262,-1.33092,0.69393,1.68236,1.76765,-1.25851,-2.7582,-7.6309,-2.5065,8.4924,1.931448203,1.428619969,1.948401299,1.908478612,1.802536913,311.449,132.398,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.24097,-0.26528,0.0972,-0.27326,-0.24887,-0.22744,-0.60097,1.05874,-0.75067,0.8706,0.50631,-0.70727,-0.62734,-1.332,0.69817,1.68608,1.76601,-1.25698,-2.5689,-6.5738,-2.8157,7.5988,1.934802044,1.429679694,1.948663466,1.908125376,1.80677652,257.604,83.0806,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.23697,-0.25772,0.09053,-0.26562,-0.24709,-0.02381,-0.59893,1.06025,-0.75316,0.87106,0.51007,-0.7049,-0.62927,-1.32587,0.68946,1.68952,1.76515,-1.26323,-2.3769,-6.2747,-2.9841,7.3435,1.93526005,1.42932646,1.947752147,1.907493665,1.798020689,270.705,89.7442,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.33006,-0.24535,0.07569,-0.25758,-0.28901,0.32728,-0.60078,1.06172,-0.73623,0.86718,0.5107,-0.71526,-0.62657,-1.3193,0.67647,1.68829,1.77698,-1.24693,-6.4729,-7.0782,-3.9714,10.3813,1.933637567,1.429606196,1.950374042,1.8987935,1.828646189,276.193,95.5287,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.23731,-0.06547,0.10939,-0.2688,-0.25639,-0.22649,-0.59694,1.06604,-0.72935,0.86969,0.51496,-0.73348,-0.6412,-1.33484,0.70633,1.70724,1.79952,-1.24431,-2.3421,-6.1189,-1.9874,6.8466,1.945361084,1.429295051,1.940479232,1.910136028,1.862586511,271.581,85.024,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.2328,-0.0561,0.09665,-0.25728,-0.25344,-0.01818,-0.6038,1.06097,-0.7544,0.87157,0.51016,-0.70447,-0.62722,-1.31825,0.70045,1.68819,1.76544,-1.26456,-2.7817,-6.3696,-2.9744,7.5603,1.934229902,1.430944393,1.946327616,1.907510486,1.795010808,283.133,93.3701,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.23681,-0.06464,0.10822,-0.26643,-0.25508,-0.2246,-0.61231,1.0656,-0.75156,0.87198,0.50611,-0.70947,-0.61854,-1.33203,0.72053,1.68414,1.77507,-1.25767,-2.9707,-6.9737,-2.5237,7.9891,1.930582957,1.430636613,1.948137233,1.908884127,1.810988779,301.465,88.8484,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.24161,-0.27192,0.10498,-0.27575,-0.24458,-0.2352,-0.64088,1.06737,-0.75102,0.87064,0.5071,-0.70948,-0.65322,-1.34312,0.74586,1.72059,1.77685,-1.25812,-2.9523,-8.183,-2.3448,9.0097,1.931347709,1.432989694,1.955650734,1.907952066,1.79596836,315.507,148.411,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.207,-0.26723,0.12221,-0.27637,-0.19135,-0.15832,-0.59667,1.05736,-0.72404,0.86688,0.50938,-0.73492,-0.63616,-1.33373,0.71888,1.69352,1.79228,-1.23342,-1.71,-8.415,-2.4748,8.9365,1.937672933,1.424610873,1.946841553,1.912013026,1.895483969,272.82,98.0233,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
64,-0.32405,-0.24674,0.07197,-0.25398,-0.30133,0.33399,-0.60083,1.06111,-0.73617,0.86714,0.51067,-0.71519,-0.6264,-1.31509,0.6728,1.68751,1.7763,-1.24684,-6.6224,-7.5132,-3.9738,10.7748,1.934026206,1.429902892,1.950387703,1.898460944,1.830742015,262.588,85.5633,1.68,3.57,5.23,1.9,1.69,3.3,6.91,3.91,46.5,-0.103920585
69,-0.24185,-0.26829,0.09637,-0.27456,-0.2471,-0.22943,-0.60365,1.05965,-0.75195,0.87068,0.50665,-0.70675,-0.61007,-1.33421,0.70002,1.66972,1.7664,-1.2586,-3.7394,-8.3089,-1.5935,9.2499,1.934314145,1.428237363,1.953661734,1.909112387,1.802252181,323.724,119.513,2.17,4.67,8.54,4.42,1.69,3.32,6.27,3.88,20.5,-1.004403982
