Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_30,diff_NBO_30_31,diff_NBO_30_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(30, 31)","Dist(30, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.25046,-0.19951,-0.14222,-0.18173,-0.25775,-0.01116,0.26175,1.03168,-1.00225,0.53973,0.47609,-1.21341,-0.40397,2.03393,-1.54198,-1.47834,-2.2589,-6.116,-3.2474,7.2837,1.919915354,1.463351781,1.888770922,1.523718525,0.96780834,287.657,137.76,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.24758,-0.00604,-0.12781,-0.19774,-0.27249,-0.2054,0.2542,1.04196,-1.00757,0.53205,0.50811,-1.2397,-0.38201,2.04953,-1.53962,-1.51568,-2.4483,-4.0401,-3.9506,6.1582,1.924574709,1.479289032,1.881184436,1.434747217,0.972591385,284.416,124.169,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.24617,-0.22135,-0.13715,-0.17796,-0.2463,-0.19734,0.27366,1.03708,-1.00044,0.54011,0.46847,-1.21504,-0.41081,2.03752,-1.54055,-1.46891,0.1748,-5.9535,-4.0543,7.205,1.902526504,1.477889679,1.889351727,1.519300732,0.968617563,280.661,120.358,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.33103,-0.19374,-0.16324,-0.17276,-0.28759,0.37171,0.27136,1.03707,-0.99861,0.54043,0.46854,-1.20983,-0.4346,2.03568,-1.53904,-1.46715,-0.5891,-5.1493,-3.4233,6.2115,1.913856219,1.460025903,1.889539783,1.518995132,0.96887016,291.466,142.758,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.22323,-0.21302,-0.12141,-0.18265,-0.21378,-0.14282,0.26641,1.03149,-0.997,0.53944,0.46973,-1.21414,-0.38782,2.02849,-1.53644,-1.46673,0.7703,-8.8171,-3.8876,9.6669,1.913052389,1.469028335,1.886852927,1.522355607,0.968643312,281.603,125.537,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.24638,-0.21763,-0.13835,-0.18338,-0.24531,-0.20079,0.27051,1.03682,-0.9976,0.53943,0.4683,-1.2202,-0.40886,2.03442,-1.53703,-1.4659,0.3901,-5.7947,-4.0965,7.1072,1.91545603,1.466381263,1.887870054,1.520715583,0.968806984,269.566,119.543,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.22797,-0.06314,-0.08911,-0.19367,-0.24095,-0.20061,0.25795,1.0387,-0.99481,0.53843,0.46804,-1.23237,-0.34706,2.03351,-1.53324,-1.46285,0.202,-5.3593,-4.268,6.8541,1.930815466,1.42817416,1.884792637,1.52628286,0.969165848,291.247,144.079,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.24488,-0.2173,-0.15858,-0.18461,-0.24533,-0.19877,0.10652,1.03398,-0.9933,0.53887,0.4691,-1.21859,-0.2651,2.02728,-1.53217,-1.4624,1.1303,-4.9872,-4.123,6.5687,1.933662222,1.452579988,1.886978339,1.520458981,0.96899449,264.804,111.751,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.23413,-0.2654,0.10448,-0.23793,-0.23038,-0.22324,-0.13015,1.01421,-0.99019,0.53858,0.46903,-1.25214,0.23463,2.0044,-1.52877,-1.45922,0.481,-4.6926,-4.3472,6.4149,1.929565879,1.425197176,1.887832003,1.518678734,0.969161008,252.778,103.213,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.25073,-0.27368,0.25977,-0.3006,-0.24246,-0.25569,-0.52482,1.05538,-1.03615,0.53528,0.49346,-1.35598,0.78459,2.09153,-1.57143,-1.52961,-0.712,-4.4921,-1.7065,4.8577,1.914025866,1.407470012,1.894513796,1.538380364,0.972819503,267.676,87.8696,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.25038,-0.2166,-0.14163,-0.18281,-0.24571,-0.1975,0.29753,1.06256,-1.00781,0.54029,0.46644,-1.24537,-0.43916,2.07037,-1.5481,-1.47425,-0.2356,-6.268,-3.5137,7.1896,1.90769942,1.465815909,1.890484425,1.535438929,0.968592343,315.864,166.344,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.20879,-0.22029,-0.11063,-0.18837,-0.19226,-0.14614,0.26469,1.03127,-0.9965,0.53962,0.46999,-1.21964,-0.37532,2.02777,-1.53612,-1.46649,-0.5527,-8.7054,-3.7998,9.5146,1.914666272,1.469165089,1.888017712,1.511059672,0.968618313,287.537,142.881,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.26669,-0.20274,-0.15397,-0.18481,-0.27096,-0.10674,0.51517,1.04614,-1.00377,0.54144,0.47549,-1.23095,-0.66914,2.04991,-1.54521,-1.47926,-2.9437,-6.7237,-2.3218,7.6983,1.939730163,1.455638483,1.89887762,1.48187917,0.968959471,384.198,184.699,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.2387,-0.24865,0.09982,-0.23508,-0.23906,-0.03356,-0.1341,1.0051,-0.9992,0.53947,0.47755,-1.24018,0.23392,2.0043,-1.53867,-1.47675,-1.9682,-5.1295,-3.4388,6.4816,1.929283063,1.428093163,1.889846626,1.512780993,0.967884423,268.118,114.283,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.24685,-0.22205,-0.12998,-0.19577,-0.24534,-0.2127,0.22962,1.04269,-1.00257,0.54004,0.46356,-1.23846,-0.3596,2.04526,-1.54261,-1.46613,0.4821,-8.4036,-3.804,9.2371,1.928223946,1.462882122,1.890579673,1.527559794,0.968319226,271.992,109.624,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.23349,-0.06172,0.11193,-0.22807,-0.23625,-0.21441,-0.13229,1.0156,-0.99212,0.53928,0.46929,-1.24367,0.24422,2.00772,-1.5314,-1.46141,0.0617,-4.6657,-4.3243,6.3618,1.921783882,1.434735972,1.890177122,1.509921643,0.969044033,264.361,106.718,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.24623,-0.20969,-0.14853,-0.17747,-0.24598,-0.19204,0.29844,1.028,-0.99597,0.53922,0.47014,-1.20547,-0.44697,2.02397,-1.53519,-1.46611,0.3804,-2.9577,-4.6449,5.5197,1.919969686,1.459533263,1.887497846,1.518364492,0.968788392,265.061,114.494,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
32,-0.22654,-0.17931,-0.16418,-0.17328,-0.23351,-0.14329,0.68271,1.03509,-0.99331,0.53987,0.47305,-1.20837,-0.84689,2.0284,-1.53318,-1.46636,2.8497,-7.2306,-3.5593,8.5482,1.938999217,1.454110152,1.893137501,1.483266962,0.967718208,263.865,99.6125,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,11,-1.341787249
