Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_34,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_34,diff_NBO_10_8,diff_NBO_32_33,dip_x_1,dip_y_1,dip_z_1,Total_1,-31-32-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 34)","Dist(10, 8)","Dist(32, 33)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
1,-0.23708,-0.19786,-0.12511,-0.2227,-0.31035,-0.23275,-0.48666,0.24955,1.00222,0.91531,-0.7267,0.53969,-0.67819,-0.61257,-1.22492,-0.37466,1.61479,1.48888,1.21788,-0.8748,-0.7719,3.1838,3.3908,2994.0711,1.944548539,1.471290382,1.965258282,1.979664327,1.579265883,295.287,113.053,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
2,-0.32225,-0.17884,-0.14507,-0.2154,-0.31184,0.33936,-0.49004,0.25156,1.00627,0.92251,-0.71377,0.55461,-0.71402,-0.61633,-1.22167,-0.39663,1.6226,1.49631,1.26863,-1.9519,-0.0817,2.7547,3.3771,3319.5683,1.943595038,1.467311506,1.973189118,1.978277895,1.646069429,313.98,140.251,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
28,-0.23785,-0.19856,-0.12731,-0.22301,-0.31209,-0.23183,-0.49146,0.27836,1.01973,0.9132,-0.72254,0.53921,-0.67746,-0.62069,-1.24274,-0.40567,1.64042,1.51119,1.21667,-0.4703,0.4619,3.1717,3.2395,3017.9613,1.940595663,1.471236168,1.971090278,1.999858651,1.586899067,341.156,157.64,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
29,-0.22842,-0.25087,0.26318,-0.31326,-0.30593,-0.25715,-0.53926,-0.52378,0.99824,0.9153,-0.72254,0.54293,-0.68029,-0.623,-1.3115,0.78696,1.62124,1.5375,1.22322,1.3492,-0.1853,4.0936,4.3142,3039.8944,1.941169821,1.405022642,1.975279661,1.982534804,1.590221167,293.979,95.1888,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
33,-0.22479,-0.24449,0.111,-0.27054,-0.29197,-0.25491,-0.31902,-0.1472,0.97619,0.91497,-0.72896,0.53961,-0.67781,-0.60895,-1.24673,0.2582,1.58514,1.29521,1.21742,-1.1286,0.0843,2.967,3.1755,2991.9867,1.953417666,1.424519279,1.968555564,1.964493604,1.578764774,278.276,96.6183,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
3,-0.23411,-0.19064,-0.13499,-0.21668,-0.31218,-0.02181,-0.48835,0.2504,1.00424,0.91415,-0.72393,0.54031,-0.67473,-0.61297,-1.22092,-0.38539,1.61721,1.49259,1.21504,-1.0506,-0.994,3.2476,3.5551,3006.2047,1.946680893,1.469098919,1.966021499,1.979694286,1.581743093,308.664,120.99,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
4,-0.21485,-0.19457,-0.1114,-0.24355,-0.28063,-0.16031,-0.485,0.24296,1.00384,0.90869,-0.72274,0.54485,-0.6661,-0.61791,-1.24739,-0.35436,1.62175,1.48884,1.21095,-0.2895,-6.5098,2.8511,7.1127,2917.9122,1.948637474,1.47412997,1.972097942,1.982030825,1.569124202,304.504,115.129,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
5,-0.20364,-0.20095,-0.09797,-0.23788,-0.27004,-0.15978,-0.48357,0.24066,1.00424,0.90654,-0.72584,0.54234,-0.66642,-0.61695,-1.24212,-0.33863,1.62119,1.48781,1.20876,-2.0311,-4.1376,2.3093,5.1554,2790.6086,1.949135148,1.474314412,1.973433381,1.9762314,1.532067822,310.467,140.146,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
7,-0.23637,0.00759,-0.12054,-0.2125,-0.32297,-0.22123,-0.4852,0.24979,1.00305,0.91505,-0.72676,0.54025,-0.67857,-0.61319,-1.21555,-0.37033,1.61624,1.48825,1.21882,-0.4684,-0.8352,3.3647,3.4984,2999.8816,1.938142254,1.481991354,1.966574129,1.960535268,1.581184193,307.681,113.385,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.2379,-0.20209,-0.12113,-0.21741,-0.31113,-0.23175,-0.48178,0.25416,1.00264,0.91466,-0.72729,0.53976,-0.6775,-0.61183,-1.22005,-0.37529,1.61447,1.48442,1.21726,-0.6894,-0.4364,3.2024,3.3046,3005.7374,1.93352429,1.483110517,1.965941755,1.966646551,1.582684543,307.02,117.657,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
9,-0.21672,-0.04759,-0.08985,-0.22379,-0.31581,-0.23203,-0.47897,0.23969,1.00317,0.91528,-0.72745,0.53948,-0.67724,-0.61198,-1.22696,-0.32954,1.61515,1.48214,1.21672,-0.2148,-0.4294,3.1918,3.2277,2987.0461,1.955743073,1.430072138,1.964030047,1.998370771,1.578100321,317.354,136.336,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.26022,-0.24476,-0.15251,-0.2217,-0.26122,-0.21143,-0.54108,0.08672,1.01439,0.91243,-0.71568,0.54981,-0.68407,-0.64797,-1.23609,-0.23923,1.66236,1.55547,1.23388,1.6165,-1.2114,1.3983,2.4568,3210.8897,1.938087295,1.457666259,1.994073086,1.991816122,1.676362602,282.662,81.0421,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
41,-0.24848,-0.19843,-0.16325,-0.24336,-0.29364,-0.1199,-0.58361,0.5096,0.99242,0.92083,-0.70542,0.54913,-0.67514,-0.62553,-1.23578,-0.67285,1.61795,1.57603,1.22427,0.6624,-3.4638,1.0921,3.6919,3562.5552,1.943751706,1.464412794,1.962032004,1.982017886,2.028630059,403.759,147.278,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.25291,-0.27856,0.10065,-0.2603,-0.24534,-0.02788,-0.34457,-0.13736,0.9949,0.91235,-0.71534,0.55079,-0.68187,-0.64574,-1.2552,0.23801,1.64064,1.33947,1.23266,0.8902,-1.3705,1.2755,2.0731,3253.1384,1.934698618,1.421650433,1.996619884,1.972408029,1.694127259,285.118,83.1457,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.26771,-0.24692,-0.11555,-0.23382,-0.26729,-0.22351,-0.38364,0.22407,1.01866,0.90712,-0.72464,0.54942,-0.67462,-0.64923,-1.25248,-0.33962,1.66789,1.4023,1.22404,0.9139,-3.7434,2.6198,4.6596,2997.4112,1.942664788,1.464892647,1.997792001,1.984457103,1.602325483,291.989,84.9333,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.26026,-0.06982,0.11898,-0.25296,-0.25812,-0.23012,-0.3451,-0.13887,0.98706,0.91495,-0.71514,0.55114,-0.6856,-0.64172,-1.24002,0.25785,1.62878,1.33216,1.23674,0.676,-1.4258,1.4034,2.1117,3318.5906,1.924837711,1.432473002,1.992351986,1.958169027,1.723451524,283.948,77.128,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.23823,-0.19053,-0.13669,-0.21762,-0.31001,-0.22172,-0.51842,0.27854,0.99366,0.91558,-0.72883,0.53948,-0.67638,-0.613,-1.21128,-0.41523,1.60666,1.51208,1.21586,-0.9032,2.1128,2.9583,3.7458,2965.0518,1.948965802,1.465742619,1.964762337,1.980217873,1.573188299,290.628,107.371,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
32,-0.23616,-0.1738,-0.17067,-0.19497,-0.25817,-0.13722,-0.60714,0.68407,1.02618,0.91489,-0.69368,0.54522,-0.66961,-0.65336,-1.22115,-0.85474,1.67954,1.63332,1.21483,2.2441,-7.4917,1.206,7.913,2981.1932,1.947747794,1.45382409,1.967018918,2.000874126,1.603792852,282.285,90.48,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,11,-1.341787249
