Name,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_13,NPA_ConnectMetal,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_13,diff_NBO_4_ConnectMetal,dip_x_1,dip_y_1,dip_z_1,Total_1,-4-10-,"Dist(4, 10)","Dist(3, 9)","Dist(4, 13)","Dist(4, ConnectMetal)",Iso.Polar,Aniso.Polar,Yield,ddg
1,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,-0.21005,-0.19299,-0.07687,-0.17506,-0.2074,-0.20586,0.18635,0.23366,-0.42223,-0.42223,-0.40872,-0.26322,0.24717,0.24717,-1.3492,-0.9488,-0.6861,1.7864,3237.7824,1.081316048,1.484863527,2.823718782,2.823718782,131.28,106.801,94,1.765869052
2,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,-0.30892,-0.16509,-0.11233,-0.15296,-0.24911,0.30209,0.19323,0.23568,-0.42698,-0.42698,-0.38864,-0.30556,0.27402,0.27402,-2.5538,-0.1351,-0.6159,2.6305,3238.2948,1.081312148,1.481789439,2.819863554,2.819863554,153.304,135.709,95,1.889669976
3,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,-0.21051,-0.18319,-0.08837,-0.16557,-0.20663,-0.01668,0.18912,0.23346,-0.42381,-0.42381,-0.39903,-0.27749,0.25824,0.25824,-1.3217,-0.4281,-0.6735,1.5439,3235.1978,1.081399902,1.483613634,2.823538608,2.823538608,146.976,125.194,94,1.765869052
4,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,-0.18243,-0.1894,-0.05538,-0.17094,-0.17729,-0.14836,0.17797,0.24006,-0.41956,-0.41956,-0.411,-0.23335,0.24862,0.24862,-1.4325,-4.3095,-0.6396,4.5862,3243.1819,1.080865891,1.485559702,2.815898134,2.815898134,145.515,119.068,95,1.889669976
5,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,-0.15496,-0.19529,-0.04301,-0.1825,-0.16524,-0.1796,0.17543,0.23861,-0.41903,-0.41903,-0.42111,-0.21844,0.23653,0.23653,0.4128,-4.2446,-0.6822,4.3188,3239.7751,1.080879913,1.485236679,2.813961087,2.813961087,151.76,141.994,95,1.889669976
7,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,-0.2075,-0.00408,-0.07577,-0.16696,-0.21807,-0.19902,0.18569,0.22665,-0.41927,-0.41927,-0.39361,-0.26146,0.25231,0.25231,-1.331,-1.157,-1.1108,2.0843,3229.9352,1.081950109,1.487682216,2.856642464,2.856642464,141.931,96.3959,97,2.230876365
8,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,-0.21145,-0.19587,-0.07104,-0.17446,-0.20896,-0.20741,0.1823,0.22753,-0.41426,-0.41426,-0.40199,-0.25334,0.2398,0.2398,-1.2738,-0.9243,-1.299,2.0407,3231.8766,1.081917539,1.487869155,2.861370579,2.861370579,141.838,95.603,94,1.765869052
9,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,-0.18637,-0.06049,-0.0583,-0.17075,-0.20783,-0.20238,0.18308,0.23812,-0.41309,-0.41309,-0.40887,-0.24138,0.24234,0.24234,-1.531,-0.7489,0,1.7043,3241.754,1.08102977,1.449408145,2.826774663,2.826774663,156.961,137.955,96.5,2.128629495
41,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,-0.23261,-0.17054,-0.10288,-0.15433,-0.23179,-0.0858,0.38174,0.24086,-0.43936,-0.43936,-0.39519,-0.48462,0.28503,0.28503,-2.9136,-0.9254,-2.1705,3.7492,3226.4811,1.081706725,1.470392222,2.909120508,2.909120508,259.006,185.726,70,0.543775347
35,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,-0.19531,-0.2242,0.12889,-0.20525,-0.1911,-0.03296,-0.16511,0.24326,-0.26463,-0.26463,-0.44851,0.294,0.05938,0.05938,-1.5829,1.1023,-0.7122,2.0561,3247.0156,1.080237958,1.416073964,2.81452794,2.81452794,129.259,105.469,95,1.889669976
43,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,-0.20897,-0.19488,-0.06048,-0.18464,-0.20682,-0.21735,0.12288,0.23001,-0.28225,-0.28225,-0.41465,-0.18336,0.09761,0.09761,-1.1433,-3.2544,-1.1425,3.6337,3230.875,1.081804637,1.470278396,2.859397363,2.859397363,138.226,108.992,58.5,0.220343055
40,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,-0.19727,-0.03098,0.12913,-0.19525,-0.20781,-0.20571,-0.17786,0.23664,-0.26225,-0.26225,-0.43189,0.30699,0.067,0.067,-1.6704,0.6558,-1.262,2.1939,3242.2633,1.081000261,1.421722608,2.863878046,2.863878046,125.019,80.5258,84.5,1.088395136
28,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,-0.2103,-0.19262,-0.07903,-0.1723,-0.20762,-0.20391,0.20909,0.2335,-0.40875,-0.40875,-0.4058,-0.28812,0.23645,0.23645,-1.1852,-0.8724,-0.6138,1.5945,3234.3353,1.081370693,1.485650881,2.822015579,2.822015579,185.94,174.706,65.5,0.411436637
29,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,-0.19892,-0.24356,0.279,-0.2372,-0.19863,-0.22623,-0.46996,0.22502,0.49654,-0.47634,-0.46222,0.74896,-0.73374,0.23914,0.614,-1.2874,0.403,1.4822,3236.525,1.081223834,1.383111758,3.021051259,2.998966068,131.534,80.9848,29,-0.574635903
30,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,-0.2069,-0.1874,-0.09998,-0.17176,-0.20486,-0.20308,0.03523,0.23701,-0.42768,-0.42768,-0.40877,-0.13521,0.25592,0.25592,-1.1048,-0.1312,5.00E-04,1.1125,3237.805,1.081394542,1.470369776,2.874523,2.874523,126.33,103.825,84.5,1.088395136
33,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,-0.19504,-0.23285,0.13951,-0.21527,-0.1925,-0.22225,-0.16764,0.24422,-0.2639,-0.2639,-0.45949,0.30715,0.04863,0.04863,-1.6408,0.582,-0.6803,1.8691,3249.8534,1.080047913,1.415648727,2.807682994,2.807682994,114.522,90.2591,94,1.765869052
27,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,-0.12747,-0.04747,-0.07897,-0.04095,-0.1265,-0.05152,0.26638,0.11313,-0.23365,-0.23365,-0.15408,-0.34535,0.1927,0.1927,-0.9827,-4.8054,0.001,4.9048,3244.4777,1.080414816,1.445107636,2.80021197,2.80021197,141.558,143.547,41.5,-0.220343055
32,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,-0.18573,-0.17119,-0.10144,-0.15808,-0.18329,-0.13747,0.52493,0.24356,-0.46067,-0.46067,-0.40164,-0.62637,0.30259,0.30259,-1.069,-3.847,0.0033,3.9928,3238.7619,1.081437253,1.472479367,2.891987381,2.891987381,124.41,89.3871,11,-1.341787249
